deal_date,date_spotted,source_feed,industry,geography,acquirer_name,acquirer_type,acquired_company,acquired_website,acquired_city,acquired_country,sub_segment,deal_size,headline,source_url,already_pe_owned,fits_pitch_criteria,priority,lookalike_list_built,outreach_sent,notes
2025-09-05,2026-04-23,PrivSource / PRN,Healthcare,US,Heartland Dental (KKR-backed),PE add-on,Smile Design Dentistry,thesmiledesign.com,"Dade City, FL",US,Dental DSO,undisclosed,Heartland Dental acquires Smile Design Dentistry from Tenex Capital Management,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/dental,yes,yes,A,no,no,"50 offices across Central FL / Tampa Bay. Strong comp for other mid-size FL dental groups. Already-PE target = exit at scale signal"
2026-02-01,2026-04-23,PRN / Animal Dermatology Group,Healthcare,US,Animal Dermatology Group (ADG),PE platform,Golden Gate Veterinary Specialists,look up manually,"San Francisco Bay Area, CA",US,Veterinary specialty (dermatology),undisclosed,ADG acquires Golden Gate Animal Allergy and Dermatology,https://www.prnewswire.com/news-releases/animal-dermatology-group-expands-to-over-90-doctors-with-four-new-acquisitions-across-key-us-markets-302285227.html,unknown,yes,A,no,no,"Part of 4-practice rollup batch. Vet specialty rollup thesis is hot — good lookalike trigger"
2026-02-01,2026-04-23,PRN / Animal Dermatology Group,Healthcare,US,Animal Dermatology Group (ADG),PE platform,Animal Skin and Allergy Clinic,look up manually,"Lynnwood, WA",US,Veterinary specialty (dermatology),undisclosed,ADG acquires Animal Skin and Allergy Clinic of Lynnwood,https://www.prnewswire.com/news-releases/animal-dermatology-group-expands-to-over-90-doctors-with-four-new-acquisitions-across-key-us-markets-302285227.html,unknown,yes,B,no,no,"Pacific Northwest expansion. Brings ADG to 40+ locations in 14 states"
2026-03-01,2026-04-23,Healthcare trade press,Healthcare,US,Dental365,PE-backed DSO,Frankel Dentistry (6-practice group),look up manually,"Toledo / Maumee / Oregon / Alliance / Akron / Louisville, OH",US,Dental DSO,undisclosed,Dental365 enters Ohio with 6-practice acquisition from Dr. Jon Frankel,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/dental,no,yes,A,no,no,"Owner-operator Dr. Frankel joins with 26 dentists + 200 employees. Perfect comp for other owner-operator OH dental groups"
2026-03-01,2026-04-23,Healthcare trade press,Healthcare,US,Aria Care Partners,strategic,Coronado Dental,look up manually,"Chandler, AZ",US,Mobile/onsite dental,undisclosed,Aria Care Partners acquires Coronado Dental,https://www.privsource.com/acquisitions/healthcare-services,no,maybe,C,no,no,"First AZ presence for Aria. Niche sub-segment (mobile dental) — limited lookalike pool"
2026-02-15,2026-04-23,Insider Media / Business Sale,Accounting,UK,Dains Accountants (IK Partners-backed),PE add-on,HURST,hurst.co.uk,"Stockport, Cheshire",UK,"Mid-market accountancy + advisory",undisclosed,Dains Accountants expands into North West with Stockport acquisition of HURST,https://marketingstockport.co.uk/news/dains-accountants-expands-into-north-west-with-stockport-acquisition/,no,yes,A,no,no,"HURST: 13 partners + 100-person team. Dains' 16th deal since 2021. Strong trigger for other regional Top 100 UK firms"
2026-03-10,2026-04-23,bk plus / PrivSource,Accounting,UK,bk plus (Palatine-backed),PE add-on,Walker Moyle Chartered Accountants,walker-moyle.co.uk,"Penzance / Redruth / St Ives, Cornwall",UK,"Regional chartered accountants",undisclosed,BK Plus acquires Walker Moyle Chartered Accountants,https://www.privsource.com/acquisitions/deal/bk-plus-acquires-abrams-ashton-7YSZqJ,no,yes,A,no,no,"Walker Moyle = oldest practice in BK Plus portfolio (since 1925). 3 offices in West Cornwall. Regional owner-operator comp"
2026-03-10,2026-04-23,bk plus announcement,Accounting,UK,bk plus (Palatine-backed),PE add-on,Pooleys Chartered Accountants & Business Advisers,look up manually,"Cornwall",UK,"Regional chartered accountants",undisclosed,BK Plus acquires Pooleys Chartered Accountants,https://bkplus.co.uk/south-west-expansion-with-walker-moyle-and-pooleys-chartered-accountants-acquisitions/,no,yes,B,no,no,"Part of same South West expansion batch as Walker Moyle"
2026-04-01,2026-04-23,Insider Media,Accounting,UK,bk plus (Palatine-backed),PE add-on,Crowther Chartered Accountants,crowther.accountants,"Huddersfield, West Yorkshire",UK,"Regional chartered accountants",undisclosed,bk plus strengthens Yorkshire with Crowther Chartered Accountants,https://www.insidermedia.com/news/yorkshire/yorkshire-accountancy-firm-expands-with-scottish-acquisition,no,yes,A,no,no,"Crowther since 1995. Abacus House HQ. Owner-operator mid-size firm — strong Yorkshire comp"
2026-04-01,2026-04-23,Insider Media,Accounting,UK,Affinia (new PE owner: RedBird Capital),PE recap,Affinia (platform recap),look up manually,"UK (multi-office)",UK,"Accounting group (platform)",undisclosed,RedBird Capital acquires Affinia from Sovereign Capital Partners,https://www.business-sale.com/news/business-sale/new-pe-backer-for-acquisitive-accounting-group-229099,yes,maybe,B,no,no,"Platform recap not a sell-side trigger. But shows LP appetite — useful to reference in pitches to firms considering first PE deal"
